"name,value_euro,age,overall_rating"
"C. Tanner,825000,24,66"
"G. Roberts,325000,34,66"
"M. Rossmann,825000,23,66"
"L. Saldaña,500000,29,66"
"J. Karacan,625000,30,66"
"Alex Sola,1200000,19,66"
"U. Cardona,1000000,20,66"
"J. Segura,1100000,22,66"
"J. Vela,800000,26,66"
"S. Scherder,650000,25,66"
"E. Ómarsson,850000,24,66"
"A. Brunst,750000,23,66"
"J. Abarca,500000,30,66"
"B. Kessel,475000,31,66"
"H. Ibusuki,675000,28,66"
"J. Ojala,575000,29,66"
"F. Götze,1100000,21,66"
"R. Guitane,1400000,19,66"
"C. Itten,1100000,22,66"
"J. Drolè,1200000,21,66"
"J. Espericueta,875000,24,66"
"H. El Mokeddem,1000000,20,66"
"Iñigo Muñoz,1200000,22,66"
"P. Kurzweg,700000,25,66"
"Li Ang,725000,25,66"
"Jou Silva,575000,31,66"
"O. Bozanic,625000,30,66"
"D. Frattesi,1300000,19,66"
"C. McCann,475000,31,66"
"S. Mpontshane,375000,32,66"
"G. Sandoval,200000,34,66"
"A. Traoré,875000,23,66"
"J. Juelsgård,500000,30,66"
"S. Traut,250000,33,66"
"D. Thopola,500000,28,66"
"T. Takagi,675000,27,66"
"G. Plet,575000,32,66"
"R. Taylor,625000,30,66"
"J. Rothwell,875000,24,66"
"L. Hufnagel,850000,25,66"
"Jonatan Lucca,850000,24,66"
"E. Nketiah,1400000,19,66"
"E. Apeh,1100000,22,66"
"T. Renault,260000,35,66"
"V. Prodell,625000,31,66"
"Arturo Molina,950000,23,66"
"S. Hertner,600000,27,66"
"C. Lykogiannis,725000,25,66"
"L. Michel,40000,39,66"
"A. Loba,1100000,20,66"
"S. Kurtuluş,500000,29,66"
"T. Werner,500000,33,66"
"S. McQueen,750000,24,66"
"S. Kikuchi,775000,27,66"
"H. Pell,625000,27,66"
"M. Coulibaly,1400000,20,66"
"Quim Araujo,600000,30,66"
"K. Mets,675000,25,66"
"T. Zhamaletdinov,1100000,21,66"
"Abdón,825000,26,66"
"K. Scherpen,1100000,19,66"
"A. Donnarumma,500000,28,66"
"L. Gugganig,775000,24,66"
"Jung Seung Yong,600000,27,66"
"L. Novak,650000,30,66"
"M. Abdellaoue,650000,30,66"
"R. Cierzniak,150000,35,66"
"C. Lobos,1000000,22,66"
"R. Gartler,525000,33,66"
"T. Akindele,775000,27,66"
"M. Restrepo,90000,37,66"
"F. Bong,475000,31,66"
"P. Joosten,900000,22,66"
"Yun Il Lok,700000,27,66"
"L. Slagveer,825000,25,66"
"A. Acosta,1200000,22,66"
"Sergio Gil,825000,22,66"
"S. Stevens,575000,26,66"
"Z. Clark,600000,26,66"
"Lee Jong Ho,775000,27,66"
"M. Oesterhelweg,675000,28,66"
"D. Rose,825000,25,66"
"Ryu Won Woo,500000,28,66"
"Paolo Fernandes,1000000,20,66"
"F. Vanzo,850000,24,66"
"K. Finnbogason,575000,32,66"
"Óscar Pinchi,1100000,22,66"
"F. Forte,825000,25,66"
"F. Evangelista,625000,27,66"
"L. Palmer,550000,27,66"
"Dyjan Azevedo,675000,27,66"
"M. Døhr Thychosen,825000,21,66"
"T. Loska,675000,23,66"
"D. Anderson,850000,23,66"
"R. Tafazolli,625000,27,66"
"G. Burke,850000,25,66"
"I. Camará,875000,20,66"
"M. Lekven,600000,31,66"
"E. Yao Guy,825000,23,66"
"M. Könnecke,625000,30,66"
"S. Skålevik,825000,26,66"
"H. Nakagawa,850000,24,66"
"L. Vignali,750000,23,66"
"D. Lachman,525000,29,66"
"A. Ligi,525000,29,66"
"C. Rismark,650000,27,66"
"S. Dembele,1000000,22,66"
"B. Çamoğlu,775000,22,65"
"C. Colkett,825000,22,65"
"H. Toffolo,600000,23,65"
"A. Petre,875000,21,65"
"P. Clement,750000,22,65"
"N. Topor-Stanley,220000,33,65"
"A. Bussaglia,875000,21,65"
"Benjamin Muscato,475000,27,65"
"No Dong Geon,475000,27,65"
"C. Menz,425000,30,65"
"Hugo,1100000,19,65"
"Avilés,850000,21,65"
"T. Kanamori,725000,24,65"
"J. Ríos,550000,27,65"
"J. Ryerson,675000,21,65"
"J. Vitale,725000,23,65"
"Óscar Whalley,525000,24,65"
"S. Mauk,800000,23,65"
"J. Haugaard,500000,26,65"
"M. Ospitalieri,525000,26,65"
"Steven Vitória,375000,32,65"
"André Silva,850000,21,65"
"M. Khubrani,575000,25,65"
"O. Berber,550000,26,65"
"M. Gollner,500000,28,65"
"M. Naamani,525000,28,65"
"R. Williams,800000,22,65"
"Choi Hyo Jin,150000,35,65"
"C. Duvall,525000,27,65"
"Song Jin Hyung,500000,31,65"
"Z. Kozulj,700000,25,65"
"J. Bijol,900000,20,65"
"M. Kopczyński,550000,26,65"
"E. Ataseven,600000,25,65"
"M. Bolly,575000,28,65"
"Willy,550000,30,65"
"A. Krešić,675000,23,65"
"D. Castillo,450000,28,65"
"F. Milo,525000,27,65"
"B. Adjei-Boateng,725000,24,65"
"S. Brandy,350000,33,65"
"A. Smárason,525000,30,65"
"R. Massimo,1100000,18,65"
"T. Bu Haymid,400000,31,65"
"H. Acosta,450000,27,65"
"Edu Espiau,725000,24,65"
"T. Mpati,525000,26,65"
"M. Lund Nielsen,500000,30,65"
"Allef,725000,24,65"
"S. Golbourne,400000,31,65"
"T. Božić,400000,31,65"
"N. Sonko Sundberg,650000,22,65"
"A. Stolz,220000,35,65"
"M. Orozco,300000,33,65"
"K. Świderski,875000,22,65"
"J. Bjørdal,300000,32,65"
"H. Matynia,650000,23,65"
"R. Kirilov,,26,65"
"K. Appiah,575000,28,65"
"Loureiro,675000,22,65"
"J. Pérez,1200000,21,65"
"R. McArdle,375000,31,65"
"L. Grozurek,575000,27,65"
"Kim Jin Ya,975000,20,65"
"I. Šehić,375000,30,65"
"G. Gunning,450000,28,65"
"K. Ford,725000,23,65"
"W. Ponce,1100000,21,65"
"P. Jerez,350000,31,65"
"J. Guthrie,525000,26,65"
"K. Hemmings,650000,26,65"
"Henrique,325000,33,65"
"P. Haglund,475000,31,65"
"F. Feuillassier,1200000,20,65"
"J. Deschamps,220000,34,65"
"Y. M'Bone,600000,25,65"
"Omar Santana,625000,27,65"
"S. Gomez,850000,22,65"
"J. Lozano,525000,28,65"
"L. Amos,925000,22,65"
"M. Langer,270000,34,65"
"E. Hajri,120000,36,65"
"G. Bigirimana,700000,25,65"
"Z. Arsenić,650000,24,65"
"R. Scheu,750000,24,65"
"H. Da Campo,750000,24,65"
"Juan Cámara,700000,25,65"
"J. Clarke-Harris,725000,24,65"
"M. Oktay,1000000,19,65"
"D. Bergqvist,600000,25,65"
"J. Arias,725000,23,65"
"C. Dikamona,500000,28,65"
"José González,825000,23,65"
"J. Carranza,1100000,18,65"
"F. Beltrán,875000,20,65"
"C. Cropper,500000,26,65"
"P. Sohm,650000,27,65"
"Carlos Cordero,725000,22,65"
"A. Hadžiahmetović,1000000,22,65"
"C. Halkett,725000,23,65"
"H. Bjørdal,775000,22,65"
"J. Derstroff,575000,27,65"
"Han Peng,280000,35,65"
"K. Ceesay,400000,31,65"
"A. Duarte,525000,24,65"
"T. Röttger,425000,33,65"
"M. Leitsch,925000,20,65"
"J. Leiva,675000,25,65"
"S. Torrizales,,27,65"
"Gabriel Rodrigues,775000,23,65"
"R. Gojani,650000,26,65"
"C. Palomeque,675000,24,65"
"P. Madden,550000,29,65"
"R. Edwards,600000,25,65"
"A. Marciniak,400000,30,65"
"G. Poussin,950000,20,65"
"Viti,975000,21,65"
"Damià,625000,23,65"
"Mauro Cerqueira,550000,26,65"
"M. Pinto,575000,25,65"
"L. Berry,675000,26,65"
"Raphael Silva,575000,26,65"
"M. Dauda,950000,21,65"
"R. Kerschbaum,600000,25,65"
"A. Batsula,525000,27,65"
"B. Innocent,725000,23,65"
"G. Esparza,650000,26,65"
"O. García,650000,26,65"
"J. Hanson,675000,23,65"
"H. Zuck,575000,28,65"
"M. Kirkeskov,525000,27,65"
"M. Giannikoglou,500000,25,65"
"Pedro Silva,775000,22,65"
"Choi Kyu Baek,625000,25,65"
"Erik Expósito,875000,22,65"
"N. Aankour,675000,25,65"
"G. Paquiez,575000,25,65"
"T. Hołota,500000,28,65"
"Raul Asencio,1100000,20,65"
"E. Pinnock,650000,25,65"
"S. O'Neill,625000,25,65"
"J. Jervis,600000,27,65"
"R. Wallace,500000,30,65"
"Jaquité,675000,23,65"
"T. Børven,650000,27,65"
"A. Leautey,800000,22,65"
"N. Landgraf,675000,23,65"
"H. Piedra,,26,65"
"B. Saka,1200000,17,65"
"S. Al Jaman,675000,25,65"
"W. Marinus,725000,24,65"
"J. Mills,425000,29,65"
"A. Østbø,475000,27,65"
"K. Guédé,350000,34,65"
"S. Ibeagha,550000,27,65"
"Mayoral,875000,21,65"
"K. Eisele,625000,23,65"
"O. Verdon,650000,23,65"
"S. Olsson,875000,21,65"
"P. Gladon,675000,26,65"
"C. Pickel,1100000,21,65"
"J. Sargent,1100000,19,65"
"K. Hashimoto,700000,25,65"
"G. Melkadze,850000,21,65"
"A. Palavecino,800000,22,65"
"N. Korzun,750000,24,65"
"J. Riley,725000,22,65"
"O. Marciano,450000,29,65"
"A. Butler,160000,35,65"
"O. Cissé,500000,27,65"
"B. Al Nakhli,400000,30,65"
"Yoon Bit Garam,525000,28,65"
"T. Holý,500000,27,65"
"J. Serrano,925000,21,65"
"R. Seigers,725000,21,65"
"G. Fechner,850000,21,65"
"A. Borysiuk,550000,27,65"
"K. Sheppard,575000,28,65"
"Junio,750000,22,65"
"C. Martinez,725000,22,65"
"P. Yrizar,750000,21,65"
"Hwang In Beom,725000,22,65"
"M. Johnston,1200000,19,65"
"S. Romero,550000,30,65"
"B. Shea,550000,29,65"
"J. Thomassen,700000,25,65"
"Gao Zhunyi,725000,23,65"
"U. Garcia,650000,23,65"
"J. Welsh,160000,35,65"
"L. Brown,450000,28,65"
"M. Bülter,675000,25,65"
"A. Hanche-Olsen,700000,22,65"
"A. Diallo,775000,23,65"
"C. Mandouki,625000,27,65"
"J. Godínez,850000,22,65"
"E. Iyoha,975000,21,65"
"J. Cano,120000,36,65"
"C. Klem,500000,27,65"
"I. Paro,625000,24,65"
"Iury,800000,23,65"
"J. Pohl,925000,22,65"
"A. Kolev,700000,26,65"
"Brugui,800000,22,65"
"F. Knudsen,850000,22,65"
"C. Laprevotte,575000,26,65"
"T. Hopper,700000,25,65"
"H. Dahmani,500000,31,65"
"J. Ness,600000,28,65"
"O. Eddahri,575000,28,65"
"A. Corsi,525000,29,65"
"A. Falatah,150000,35,65"
"César Ortiz,425000,30,65"
"J. Toivio,400000,30,65"
"D. Baumann,725000,23,65"
"S. Wagstaff,550000,28,65"
"João Moutinho,1100000,21,65"
"D. Gazdag,,23,65"
"N. Medvedev,600000,24,65"
"D. Charles,400000,31,65"
"A. Ndom,725000,22,65"
"C. Doidge,675000,26,65"
"L. Tipton,475000,26,65"
"S. Arai,375000,30,65"
"S. Payne,600000,27,65"
"Pité,600000,24,65"
"R. van der Meer,600000,24,65"
"B. Close,925000,22,65"
"Yang Zhi,130000,36,65"
"Y. Maruhashi,450000,28,65"
"E. Miller,550000,26,65"
"D. Gape,700000,24,65"
"R. McLaughlin,750000,24,65"
"E. Ampadu,1100000,18,65"
"J. Chapman,650000,25,65"
"Markel Areitio,725000,22,65"
"D. Dankerlui,675000,22,65"
"B. Tuiloma,625000,23,65"
"A. Ibsen Rømer,700000,25,65"
"M. Ingram,550000,25,65"
"Lucas Marques,675000,23,65"
"N. Briasco,875000,23,65"
"J. Sabbatini,500000,30,65"
"B. Youssouf,600000,25,65"
"J. Rodríguez,675000,26,65"
"J. Mendes,575000,27,65"
"A. Díaz,775000,23,65"
"E. Ebanks-Landell,525000,26,65"
"J. Thorniley,850000,22,65"
"D. Poleon,725000,25,65"
"T. Schrammel,400000,31,65"
"A. Kampetsis,900000,19,65"
"Q. Maceiras,700000,23,65"
"D. Szoboszlai,1100000,18,65"
"Álvaro,775000,20,65"
"Zhao Yuhao,625000,25,65"
"E. Córdoba,600000,25,65"
"B. Dia,875000,22,65"
"P. Hoffmann,625000,26,65"
"F. Rogic,675000,25,65"
"N. Loyola,,24,65"
"C. Mosca,550000,27,65"
"G. Cummins,525000,31,65"
"J. Clauss,550000,26,65"
"L. Prosser,400000,30,65"
"M. O'Connor,500000,31,65"
"A. N'Diaye,575000,27,65"
"A. Gerbo,550000,29,65"
"S. Lawson,625000,24,65"
"Fran Manzanara,775000,22,65"
"I. Voca,850000,21,65"
"G. Rólantsson Sørensen,650000,26,65"
"N. Miatke,550000,29,65"
"A. Chicksen,525000,27,65"
"F. Ponce,500000,30,65"
"C. McHugh,550000,26,65"
"R. Ruiz,300000,33,65"
"L. Meisl,725000,20,65"
"L. de la Torre,800000,20,64"
"J. Hiwula,600000,24,64"
"R. Atassi,450000,27,64"
"Y. Opazo,170000,34,64"
"N. Devlin,450000,25,64"
"A. De Bruyn,575000,24,64"
"P. Tietz,650000,21,64"
"S. Dooley,475000,27,64"
"A. Rufer,600000,22,64"
"B. Kwiecień,525000,24,64"
"T. Danneberg,400000,32,65"
"Y. Rokutan,325000,31,65"
"C. Vergara,625000,24,65"
"M. López,775000,19,65"
"M. Breij,800000,22,65"
"Júnior Tavares,725000,22,65"
"Marcel,500000,26,64"
"E. Pantelakis,575000,24,64"
"B. Gschweidl,600000,23,64"
"J. Ockford,450000,26,64"
"N. Neidhart,525000,24,64"
"D. Orgill,475000,29,64"
"D. Stroh-Engel,350000,33,64"
"M. Bravo,475000,26,64"
"D. Wein,500000,25,64"
"M. Tootle,375000,28,64"
"F. Aksoy,675000,21,64"
"G. Diangana,1000000,20,64"
"Mateus Couteira,140000,35,64"
"R. Steer,160000,36,64"
"M. Albertazzi,375000,28,64"
"D. Forde,30000,39,64"
"Jiang Tao,350000,29,64"
"J. Marimón,650000,20,64"
"N. Tkalčić,350000,29,64"
"Mao Jianqing,400000,32,64"
"E. Lomotey,575000,21,64"
"R. Hayasaka,350000,33,64"
"H. Hansen,500000,24,64"
"L. Diaby Fadiga,900000,18,64"
"P. Owusu,675000,22,64"
"C. Mueller,775000,22,64"
"F. Assmann,260000,32,64"
"G. Ruggiero,850000,19,64"
"S. Skytte,650000,22,64"
"N. Mason,550000,22,64"
"S. Luna,325000,31,64"
"S. Londoño,550000,24,64"
"T. Endoh,550000,25,64"
"G. Felicioli,700000,21,64"
"J. Mårtensson,425000,30,64"
"K. Rendón,550000,26,64"
"P. Breitkreuz,550000,27,64"
"J. Cortizo,675000,22,64"
"G. Wegkamp,600000,25,64"
"P. Wiegers,375000,28,64"
"Lee Yun Pyo,180000,34,64"
"A. Absalem,575000,21,64"
"J. McKeown,325000,29,64"
"Mairdel Sampaio,425000,31,64"
"J. Bond,425000,25,64"
"P. Prosenik,575000,26,64"
"G. Ortiz,300000,29,64"
"T. Knöll,700000,21,64"
"Cho Sung Hwan,60000,36,64"
"R. Porteous,875000,19,64"
"S. Roa,600000,23,64"
"S. Mallan,750000,22,64"
"A. Stølås,350000,29,64"
"B. Uaferro,475000,27,64"
"F. Kastrati,550000,27,64"
"F. Henríquez,625000,23,64"
"Henrique,525000,24,64"
"D. Niepsuj,525000,23,64"
"I. Colman,650000,23,64"
"J. Thiaré,575000,25,64"
"B. Olejnik,270000,32,64"
"A. Tanaka,425000,31,64"
"D. Amoo,475000,27,64"
"M. Pietrowski,325000,31,64"
"J. Eskesen,750000,19,64"
"G. Middleton,925000,19,64"
"M. Firenze,550000,25,64"
"A. McCormack,140000,35,64"
"G. Treand,350000,33,64"
"P. Martínez,775000,22,64"
"O. Álvarez,675000,23,64"
"K. Pallesen,350000,28,64"
"J. Forster,500000,25,64"
"M. Kuttin,400000,25,64"
"Shin Kwang Hoon,300000,31,64"
"Park Won Jae,130000,34,64"
"A. Lomovitskiy,1000000,21,64"
"F. Piovaccari,280000,34,64"
"N. Rasskazov,675000,21,64"
"E. Zambataro,600000,20,64"
"D. Hashioka,675000,19,64"
"J. Deminguet,800000,21,64"
"K. Coulibaly,550000,25,64"
"M. Buchalik,300000,30,64"
"D. Lovren,975000,20,64"
"B. Kallman,450000,28,64"
"G. Morris,180000,35,64"
"D. Daniels,500000,25,64"
"G. Fuentes,600000,22,64"
"S. Peszko,270000,34,64"
"Jordi Escobar,900000,17,64"
"T. Oakley-Boothe,925000,19,64"
"M. Anderson,775000,20,64"
"T. Pearce,900000,20,64"
"S. Sarr,625000,22,64"
"P. Charruau,425000,25,64"
"H. Anderson,775000,22,64"
"F. Di Mariano,625000,22,64"
"G. Puel,425000,27,64"
"M. Chudý,300000,29,64"
"Andújar,475000,27,64"
"Kaká,475000,27,64"
"A. Wordsworth,425000,30,64"
"N. Gil,700000,21,64"
"Hu Yanqiang,550000,25,64"
"A. Noppert,425000,24,64"
"M. Exslager,475000,28,64"
"A. Al Joui,625000,24,64"
"P. Brożek,210000,35,64"
"Diego Alende,650000,21,64"
"M. Aebischer,775000,22,64"
"J. Stacey,600000,22,64"
"W. Palacios,600000,24,64"
"A. Al Mutairi,350000,32,64"
"N. Ferraresi,,20,64"
"S. Ingolitsch,500000,21,64"
"J. Welzmüller,375000,29,64"
"S. Jurado,825000,21,64"
"S. Wharton,725000,21,64"
"J. Tosik,300000,31,64"
"D. Rose,425000,31,64"
"C. Greger,525000,22,64"
"V. Jónsson,525000,24,64"
"Vagnão Junior,500000,27,64"
"A. Moreno,575000,23,64"
"F. Lanzillotta,425000,26,64"
"R. Sánchez,180000,35,64"
"L. Quezada,600000,23,64"
"J. Díaz Price,975000,20,64"
"R. Allsop,400000,26,64"
"K. Fickentscher,350000,30,64"
"A. Al Kassar,300000,27,64"
"A. Stewart,450000,26,64"
"S. Pinas,675000,20,64"
"O. Sangante,475000,28,64"
"B. Bye,450000,28,64"
"I. Berezovskyi,350000,28,64"
"I. Aliseda,925000,18,64"
"P. Leciejewski,230000,33,64"
"N. Oroz,600000,24,64"
"A. Bruno,220000,35,64"
"F. Torres,400000,29,64"
"Rafael Dumas,575000,23,64"
"M. Özyıldırım,575000,24,64"
"C. Freitag,375000,29,64"
"T. Yonemoto,475000,28,64"
"F. Tingager,500000,26,64"
"M. Sarr,525000,24,64"
"L. Balerdi,875000,20,64"
"G. Alanís,625000,24,64"
"O. Skipp,800000,18,64"
"S. Hughes,675000,21,64"
"Han Hee Hoon,425000,28,64"
"A. Tarbell,425000,25,64"
"Dêniro Prestes,425000,31,64"
"T. Al Ammar,925000,19,64"
"M. Suzuki,600000,25,64"
"K. Mazek,575000,24,64"
"D. Vaughan,190000,36,64"
"E. Laird,800000,17,64"
"T. Campbell,950000,19,64"
"C. Mackail-Smith,240000,35,64"
"N. Bishop,140000,37,64"
"C. Ferreira,925000,19,64"
"J. Valencia,425000,25,64"
"L. Nieuwpoort,500000,24,64"
"R. Meléndez,850000,20,64"
"M. Malsa,625000,23,64"
"C. Shaughnessy,575000,22,64"
"Lolo,450000,27,64"
"J. Rask,300000,30,64"
"M. Martic,500000,23,64"
"T. Pett,475000,27,64"
"Hui Jiakang,450000,30,64"
"O. Palmer,550000,27,64"
"J. Mitchell,500000,24,64"
"D. Vaněček,525000,28,64"
"Y. Shimada,425000,28,64"
"A. Pucheta,550000,24,64"
"T. Bunmathan,350000,29,64"
"Moreto Cassamá,800000,21,64"
"R. Edwards,675000,23,64"
"Y. Hamza,375000,28,64"
"M. Ignatov,925000,18,64"
"A. Gnanduillet,550000,27,64"
"K. Angielski,625000,22,64"
"B. Kara,575000,25,64"
"Ha Dae Sung,270000,34,64"
"I. Ljubić,775000,22,64"
"U. Antuna,725000,21,64"
"A. Barcham,400000,32,64"
"F. Menig,475000,25,64"
"L. Wahlqvist,650000,22,64"
"G. Ferrari,725000,21,64"
"A. Bayındır,525000,20,64"
"Genís,550000,22,64"
"J. Tillson,450000,26,64"
"S. McNulty,140000,35,64"
"D. Stojanović,450000,25,64"
"R. O'Donnell,300000,30,64"
"R. Basque,600000,23,64"
"F. Reese,800000,21,64"
"C. Rawlinson,450000,27,64"
"D. Kutesa,1000000,21,64"
"M. Al Saiari,550000,25,64"
"O. Özenç,425000,26,64"
"R. Renner,550000,25,64"
"A. Winkler,450000,27,64"
"Z. Tsiskaridze,300000,32,64"
"S. Domínguez,425000,31,64"
"F. Ruberto,425000,25,64"
"Montero,875000,20,64"
"Kuki Zalazar,1000000,20,64"
"B. Moe,450000,27,64"
"B. Morris,625000,22,64"
"M. Desler,525000,24,64"
"R. Takasugi,140000,35,64"
"B. Soumaré,950000,20,64"
"Seo Young Jae,575000,23,64"
"A. Bittroff,350000,30,64"
"P. Clarke,60000,37,64"
"J. Storey,650000,21,64"
"F. Mayembo,575000,23,64"
"T. Hilliard-Arce,550000,23,64"
"E. Hernández,110000,36,64"
"D. Telgenkamp,270000,31,64"
"M. Sadílek,950000,19,64"
"Leonardo,425000,26,64"
"V. Loroña,875000,20,64"
"Bura,525000,23,64"
"S. Gbegnon,475000,26,64"
"B. Verboom,425000,27,64"
"He Chao,625000,23,64"
"C. Grant,650000,23,64"
"B. Stuver,400000,27,64"
"F. Hansch,625000,23,64"
"H. Shimoda,525000,27,64"
"Dani Molina,675000,22,64"
"M. Güçlü,975000,19,64"
"L. Stevenson,325000,31,64"
"K. Ogawa,500000,26,64"
"R. Zambrano,625000,24,64"
"K. Risgård,190000,36,64"
"J. Macías,725000,19,64"
"A. Al Qahtani,525000,26,64"
"F. Soyalp,600000,23,64"
"D. Bowles,450000,27,64"
"Eddy Francis,425000,28,64"
"A. Connolly,950000,19,64"
"F. Herbers,575000,25,64"
"F. Sporkslede,475000,25,64"
"K. Mercado,625000,24,64"
"H. Artarslan,475000,24,64"
"L. Moreira,375000,28,64"
"D. Diagné,525000,24,64"
"S. Al Shehri,625000,25,64"
"M. Jeannin,350000,27,64"
"Yu Sang Hun,300000,29,64"
"A. Karazor,600000,22,64"
"Nelson Freitosa,180000,35,64"
"G. Di Noia,600000,24,64"
"D. Kvande,500000,23,64"
"Perceval Acunha,325000,31,64"
"S. Humphrys,750000,21,64"
"B. Boutobba,675000,20,64"
"J. Salazar,1000000,21,64"
"J. Mullins,260000,33,64"
"L. Ochoa,170000,34,64"
"S. Auer,375000,28,64"
"N. Malić,325000,30,64"
"D. Nazon,600000,24,64"
"Ander Cantero,475000,24,64"
"K. Kabran,575000,25,64"
"F. García,140000,35,64"
"H. Cavero,550000,22,63"
"M. Hamzi,400000,27,63"
"C. López,525000,24,63"
"C. Führich,650000,21,63"
"A. Dzabana,600000,21,63"
"N. Ishikawa,200000,33,63"
"K. Soni,800000,20,63"
"L. Fenton,375000,25,63"
"B. Kantarovski,325000,27,63"
"Joaquín,700000,19,63"
"Ricardo Campos,750000,18,63"
"P. Köhn,675000,20,63"
"L. Cardoza,150000,34,63"
"F. Medina,700000,19,63"
"A. Arrigoni,290000,30,63"
"C. Jennings,375000,28,63"
"Zhou Yun,300000,28,63"
"B. Fuller,140000,34,63"
"Paulo Vítor,250000,30,63"
"A. Spahic,400000,22,63"
"A. Mayorga,625000,21,63"
"O. Özdemir,425000,24,63"
"D. Björnquist,280000,30,63"
"Y. Asprilla,450000,26,63"
"J. Dasilva,675000,20,63"
"L. Schoofs,475000,22,63"
"D. Castañeda,525000,24,63"
"Diego Barri,550000,23,63"
"M. Léris,825000,20,63"
"A. Okosun,475000,25,63"
"M. Miśkiewicz,250000,30,63"
"D. Vega,150000,34,63"
"J. Sagredo,,24,63"
"A. Keena,700000,19,63"
"D. Franco,375000,27,63"
"A. Angoula,50000,37,63"
"Ángel,550000,21,63"
"Josi Mouraldo,400000,27,63"
"M. Hebo Rasmussen,525000,23,63"
"B. Heneghan,425000,25,63"
"Endika,450000,22,63"
"D. Pelivan,475000,22,63"
"A. Salzano,425000,27,63"
"J. Bunney,400000,25,63"
"K. Weidlich,375000,29,63"
"L. Hannant,450000,25,63"
"Y. Thermann,400000,25,63"
"Jeong Jae Hee,475000,24,63"
"B. Miranda,,21,63"
"F. Børsting,500000,24,63"
"Li Yunqiu,300000,28,63"
"P. Ulvestad,350000,28,63"
"M. Janzer,425000,27,63"
"S. Al Khaibari,300000,29,63"
"N. Mileusnić,475000,25,63"
"M. Feeney,725000,20,63"
"A. Disasi,550000,20,63"
"Chen Zhizhao,350000,30,63"
"M. Godinho,625000,21,63"
"J. Gómez,270000,31,63"
"M. Hancox,400000,25,63"
"O. Aydoğan,500000,22,63"
"A. Smith,325000,26,63"
"A. Mosquera,325000,27,63"
"W. Evseev,425000,27,63"
"O. Steurer,500000,24,63"
"A. Kokoszka,250000,32,63"
"M. Minetti,290000,29,63"
"J. Livolant,700000,21,63"
"F. Sierralta,725000,21,63"
"D. Valencia,350000,27,63"
"F. Dhia Putros,425000,25,63"
"A. Grbic,575000,22,63"
"R. Contreras,500000,23,63"
"C. Bolger,400000,26,63"
"E. Børufsen,350000,31,63"
"K. Choi,500000,23,63"
"F. Melegoni,775000,20,63"
"Luis Paezinho,110000,35,63"
"Y. Güveli,725000,21,63"
"M. Madri,375000,28,63"
"O. León,575000,19,63"
"S. Bueno,725000,20,63"
"D. Genreau,800000,19,63"
"Kim Won Gun,350000,26,63"
"M. Maak,375000,26,63"
"M. Obafemi,750000,18,63"
"T. Kanai,290000,29,63"
"S. Binakaj,350000,29,63"
"S. Al Mutairi,300000,29,63"
"T. Robinson,375000,30,63"
"T. Zwarthoed,90000,36,63"
"H. Gómez,375000,26,63"
"G. Lefebvre,500000,24,63"
"T. Dähne,350000,25,63"
"I. Lawlor,375000,24,63"
"Li Wei,150000,33,63"
"J. Kennedy,325000,32,63"
"A. Pellegrino,375000,28,63"
"P. Armenakas,800000,20,63"
"J. Corrales,350000,27,63"
"M. Lauritsen,400000,25,63"
"H. Bunn,450000,26,63"
"W. Abdullah,210000,32,63"
"L. Kontogiannis,290000,30,63"
"M. Fejzullahu,475000,24,63"
"Carlitos,220000,33,63"
"E. Torres,600000,20,63"
"Juan Pérez,500000,22,63"
"W. Pérez,800000,20,63"
"S. Jovanović,475000,25,63"
"C. Styles,750000,18,63"
"O. Threlkeld,400000,25,63"
"Chen Lei,200000,33,63"
"S. McLoughlin,625000,22,63"
"G. Moss,90000,36,63"
"Fabiem Jardim,190000,35,63"
"K. Letheren,240000,31,63"
"N. Moreno,600000,22,63"
"T. Schützenauer,400000,21,63"
"D. Bejarano,,25,63"
"J. Iritier,500000,24,63"
"J. Pirinen,350000,27,63"
"O. Boussaid,750000,19,63"
"Lim Jae Hyeok,800000,20,63"
"S. D'Almeida,475000,23,63"
"F. Burmeister,300000,28,63"
"T. Barnett,290000,33,63"
"D. Scarr,425000,24,63"
"Ángel,375000,26,63"
"E. Ruiz,675000,21,63"
"A. Höller,280000,29,63"
"S. Camara Jönsson,190000,35,63"
"F. Luckeneder,450000,24,63"
"G. Leigh,400000,24,63"
"Rafhael Lucas,475000,26,63"
"J. Lalpekhlua,,28,63"
"W. Jobello,475000,25,63"
"Carlos Isaac,625000,20,63"
"Lee Tae Hee,400000,23,63"
"D. Bowditch,290000,32,63"
"C. Añez,,23,63"
"André Anderson,775000,19,63"
"M. Trianni,450000,26,63"
"L. Grace,425000,26,63"
"D. Moreno,500000,24,63"
"J. Karlsson,475000,20,63"
"R. Lauritsen,525000,23,63"
"A. Vrenezi,500000,25,63"
"H. Vetlesen,675000,19,63"
"M. Şengezer,500000,22,63"
"L. Walsh,650000,21,63"
"Yang Kuo,375000,26,63"
"J. Payne,375000,28,63"
"A. Meyer,300000,27,63"
"B. Vandenbussche,50000,37,63"
"Kim Young Sin,290000,33,63"
"H. Al Juhayyim,350000,31,63"
"H. Lennon,425000,24,63"
"S. Rénot,300000,29,63"
"T. Diagouraga,325000,31,63"
"E. Frear,375000,28,63"
"Sito,500000,22,63"
"G. Perrin,625000,22,63"
